source,match,set,rally_id,rally,ball_round,rally_length,player,shot_type,raw_shot_type,terminal_reason,getpoint_player,landing_x,landing_y,contact_x,contact_y,recovery_x,recovery_y,opponent_x,opponent_y,landing_area,player_location_area,opponent_location_area
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally2,2,1,14,B,long service,發長球,,,-1.5106926329131123,6.224305749997406,0.11631439051948834,-2.730101586727717,-0.3974940074861833,-4.01103418387338,-0.9567753292494918,4.769079225249872,4,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally2,2,2,14,A,clear,長球,,,-1.795693504666324,5.8218709603376535,-1.5106926329131123,-6.224305749997406,-0.34294191909369454,-3.7837459732732737,-0.3974940074861833,4.01103418387338,3,4,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally2,2,3,14,B,drop,切球,,,-1.5601590151134048,1.706412594643761,-1.795693504666324,-5.8218709603376535,-0.6780568948878636,-4.418910640715702,-0.34294191909369454,3.7837459732732737,2,3,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally2,2,4,14,A,lob,挑球,,,-1.3608237077909753,6.005338313730953,-1.5601590151134048,-1.706412594643761,-0.22568354145980163,-3.518663257747764,-0.6780568948878636,4.418910640715702,3,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally2,2,5,14,B,clear,長球,,,-1.7573784950190572,6.1606135005277025,-1.3608237077909753,-6.005338313730953,-0.5126569812083215,-4.652515780171778,-0.22568354145980163,3.518663257747764,4,9,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally2,2,6,14,A,drop,切球,,,-1.4049010282896388,0.9907602266070389,-1.7573784950190572,-6.1606135005277025,-0.9634449989648426,-4.804442962214296,-0.5126569812083215,4.652515780171778,1,9,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally2,2,7,14,B,lob,挑球,,,1.3367737121073664,6.01813675148869,-1.4049010282896388,-0.9907602266070389,-0.17121349325745747,-3.6680522720417876,-0.9634449989648426,4.804442962214296,3,7,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally2,2,8,14,A,clear,長球,,,1.264915341175713,5.662711901995528,1.3367737121073664,-6.01813675148869,0.5805017285069252,-4.336056500815735,-0.17121349325745747,3.6680522720417876,9,9,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally2,2,9,14,B,clear,長球,,,1.9088068310464414,5.9179160935640205,1.264915341175713,-5.662711901995528,0.6929100084107873,-4.878092701137543,0.5805017285069252,4.336056500815735,3,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally2,2,10,14,A,drop,切球,,,-1.5663429941745117,1.3895474301835884,1.9088068310464414,-5.9179160935640205,0.24494839912530608,-4.481135273393456,0.6929100084107873,4.878092701137543,1,3,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally2,2,11,14,B,lob,挑球,,,-1.419342058723917,5.963481696404116,-1.5663429941745117,-1.3895474301835884,-0.7447784045993486,-3.171757373630426,0.24494839912530608,4.481135273393456,4,7,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally2,2,12,14,A,clear,長球,,,1.664991854394947,6.033043430126463,-1.419342058723917,-5.963481696404116,0.34322173561191527,-4.00665360801475,-0.7447784045993486,3.171757373630426,4,9,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally2,2,13,14,B,drop,切球,,,2.0480461407018535,1.9642340684153277,1.664991854394947,-6.033043430126463,0.3981669414539165,-4.3502700155673475,0.34322173561191527,4.00665360801475,1,9,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally2,2,14,14,A,net shot,放小球,opponent ball landed,A,1.7885922595253945,1.3205686546997484,2.0480461407018535,-1.9642340684153277,,,0.3981669414539165,4.3502700155673475,2,5,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally3,3,1,1,A,long service,發長球,out,B,2.308385374599387,5.650987588325614,-0.13000401759832805,-3.480403557585887,,,0.7252532593083469,4.463899546388402,12,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally4,4,1,5,B,long service,發長球,,,0.9167020847423085,6.278353924000826,-0.3377060868004995,-2.6261790550949033,-0.06471477290842312,-3.8937535434625095,0.7966357011398609,4.694254646757984,9,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally4,4,2,5,A,drop,切球,,,-1.6909092234453984,3.289755875140971,0.9167020847423085,-6.278353924000826,0.31693586966280435,-4.26379679554563,-0.06471477290842312,3.8937535434625095,5,9,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally4,4,3,5,B,net shot,放小球,,,-1.623581667843299,1.232739913286892,-1.6909092234453984,-3.289755875140971,-0.6039213864836946,-4.070318181366566,0.31693586966280435,4.26379679554563,2,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally4,4,4,5,A,lob,挑球,,,0.8995387762539949,5.666817232592058,-1.623581667843299,-1.232739913286892,-0.20333515389610726,-3.210604655262247,-0.6039213864836946,4.070318181366566,9,7,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally4,4,5,5,B,clear,長球,misjudged,B,1.9127925766146454,6.433294976099615,0.8995387762539949,-5.666817232592058,,,-0.20333515389610726,3.210604655262247,3,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally5,5,1,10,B,long service,發長球,,,-1.5481441743467304,6.062176027291682,0.1447253954528051,-2.7298909471686983,-0.2692465030251321,-3.838671134756723,-0.9629540108028758,4.5553595759084935,4,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally5,5,2,10,A,drop,切球,,,-1.4018094098835512,3.0125174268954282,-1.5481441743467304,-6.062176027291682,-1.1178065428869173,-5.015318154897262,-0.2692465030251321,3.838671134756723,5,4,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally5,5,3,10,B,lob,挑球,,,-1.340962672668113,5.530460059541837,-1.4018094098835512,-3.0125174268954282,-0.6618829745972115,-4.013432193499318,-1.1178065428869173,5.015318154897262,6,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally5,5,4,10,A,clear,長球,,,-0.9672823212075589,5.875021301223885,-1.340962672668113,-5.530460059541837,0.12269565855931344,-4.117658234929795,-0.6618829745972115,4.013432193499318,9,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally5,5,5,10,B,drop,切球,,,1.9299211338448823,2.5782675631711776,-0.9672823212075589,-5.875021301223885,-0.3258676656904421,-4.94837571486275,0.12269565855931344,4.117658234929795,5,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally5,5,6,10,A,lob,挑球,,,1.1479271003648681,4.754422870523105,1.9299211338448823,-2.5782675631711776,0.9586449355707861,-3.364758696853108,-0.3258676656904421,4.94837571486275,8,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally5,5,7,10,B,smash,殺球,,,1.6402926714183925,3.6311650798773676,1.1479271003648681,-4.754422870523105,0.9035293359479588,-4.056533403921735,0.9586449355707861,3.364758696853108,5,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally5,5,8,10,A,return net,擋小球,,,-0.8076371215409216,2.469651918214263,1.6402926714183925,-3.6311650798773676,0.5236360252185117,-4.4805937663271385,0.9035293359479588,4.056533403921735,8,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally5,5,9,10,B,lob,挑球,,,-1.6184758939682997,5.699288677588054,-0.8076371215409216,-2.469651918214263,-0.5977364805069119,-2.951802389181076,0.5236360252185117,4.4805937663271385,4,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally5,5,10,10,A,smash,殺球,touched the net,B,0.03569591925600048,-0.06744542724932033,-1.6184758939682997,-5.699288677588054,,,-0.5977364805069119,2.951802389181076,7,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally7,7,1,7,B,long service,發長球,,,-1.4858458656552331,6.127042447309246,0.0782854838050769,-2.6766954930205578,-0.3564998175638215,-3.7826880623690466,-0.9490754818097235,4.769061414501178,4,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally7,7,2,7,A,drop,切球,,,-1.8156978275689992,2.636931275607546,-1.4858458656552331,-6.127042447309246,-0.760293493598065,-4.9445464242918815,-0.3564998175638215,3.7826880623690466,5,4,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally7,7,3,7,B,net shot,放小球,,,-1.562385788307026,0.6565868380117985,-1.8156978275689992,-2.636931275607546,-0.545445074480743,-3.335824464330523,-0.760293493598065,4.9445464242918815,2,5,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally7,7,4,7,A,lob,挑球,,,-1.3056241876004073,5.878904952153191,-1.562385788307026,-0.6565868380117985,-0.2839156092197382,-3.2106283516656635,-0.545445074480743,3.335824464330523,3,7,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally7,7,5,7,B,drop,切球,,,-1.3161961076091016,3.015219148034407,-1.3056241876004073,-5.878904952153191,-0.9006807528489378,-5.625003504046639,-0.2839156092197382,3.2106283516656635,6,9,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally7,7,6,7,A,net shot,放小球,,,-0.14392471530710468,1.0828009235652403,-1.3161961076091016,-3.015219148034407,-0.04217596092196674,-3.326713076224001,-0.9006807528489378,5.625003504046639,7,8,9
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally7,7,7,7,B,net shot,放小球,touched the net,A,0.7208275958946345,0.11637609946990614,-0.14392471530710468,-1.0828009235652403,,,-0.04217596092196674,3.326713076224001,7,7,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally8,8,1,8,A,long service,發長球,,,-0.9432468353747357,6.190465690149448,0.19827059383166706,-3.36513489400181,0.10840674173728863,-3.783277816572142,-1.0527209209107566,4.364082034378547,9,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally8,8,2,8,B,wrist smash,點扣,,,-1.629086439521526,3.443013775050019,-0.9432468353747357,-6.190465690149448,-0.7165090540281108,-4.952393998353983,0.10840674173728863,3.783277816572142,6,9,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally8,8,3,8,A,defensive return lob,防守回挑,,,-1.5160688304571879,5.44667758657533,-1.629086439521526,-3.443013775050019,-0.0976427058427552,-3.6704723398382435,-0.7165090540281108,4.952393998353983,5,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally8,8,4,8,B,clear,長球,,,-1.557164481357188,6.029548350886982,-1.5160688304571879,-5.44667758657533,-0.5754484525140046,-4.8910410170853975,-0.0976427058427552,3.6704723398382435,4,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally8,8,5,8,A,drop,切球,,,-1.0259133892930372,2.9007440157251563,-1.557164481357188,-6.029548350886982,-0.600972677413987,-5.290201337341829,-0.5754484525140046,4.8910410170853975,8,9,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally8,8,6,8,B,net shot,放小球,,,-1.760413456711849,0.8798848504360256,-1.0259133892930372,-2.9007440157251563,-0.4452718985131337,-3.8971487916166616,-0.600972677413987,5.290201337341829,2,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally8,8,7,8,A,lob,挑球,,,-1.5255136234464433,5.141678636891888,-1.760413456711849,-0.8798848504360256,-0.28866696853418133,-3.632788385145525,-0.4452718985131337,3.8971487916166616,5,2,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally8,8,8,8,B,drop,切球,opponent ball landed,B,1.9998899232290874,1.4996106490590255,-1.5255136234464433,-5.141678636891888,,,-0.28866696853418133,3.632788385145525,1,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally9,9,1,9,B,long service,發長球,,,0.753716179518582,5.790532313559113,-0.2907837172969124,-2.679406068219134,0.03238130576370527,-3.610040677855673,0.7659069563242992,4.694322902210478,9,8,8
ShuttleSet22,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,1,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals__set1__rally9,9,2,9,A,drop,切球,,,-1.5980316678294024,1.49052751457764,0.753716179518582,-5.790532313559113,-0.033980282238653514,-4.264379725999645,0.03238130576370527,3.610040677855673,1,9,8
